[OK] Métricas exportadas a _reports/metrics_runs.tsv
18675618217	Healthcheck API	completed	failure	12
18675324907	Healthcheck API	completed	failure	19
18675119935	Verify Home	completed	failure	15
18674858840	audit-and-remediate	completed	success	39
18674679802	Healthcheck API	completed	failure	15
18674058215	Healthcheck API	completed	failure	20
18673650903	audit-and-remediate	completed	success	41
18673400414	Healthcheck API	completed	failure	19
18673084259	Healthcheck API	completed	failure	16
18672713634	audit-and-remediate	completed	success	38
18672426591	Healthcheck API	completed	failure	13
18672224049	Healthcheck API	completed	failure	15
18672108690	Verify Media	completed	failure	21
18671875739	Cleanup Test Resources	completed	success	27
18671873438	Healthcheck API	completed	failure	18
18671471059	audit-and-remediate	completed	success	41
18670766710	Healthcheck API	completed	failure	14
18670308446	Verify Home	completed	failure	16
18670168258	Verify Settings	completed	failure	16
18669868611	Verify Menus	completed	failure	17
18669595714	audit-and-remediate	completed	success	36
18669058826	Healthcheck API	completed	failure	24
18667860985	Healthcheck API	completed	failure	19
18667515767	audit-and-remediate	completed	success	39
18667348117	Deploy Production (Cloudflare)	completed	success	80
18667348112	Structure & Governance Guard	completed	success	19
18667348110	Pages Deploy Fallback	completed	failure	27
18667348101	Guard - Require Cloudflare Pages Preview	completed	skipped	1
18667348086	Docs Lint	completed	success	32
18667348083	CI — Briefing	completed	success	121
18667348082	Status & Changelog Update	completed	success	15
18667347005	Docs Lint	completed	success	31
18667346977	Structure & Governance Guard	completed	success	15
18667346975	CI — Briefing	completed	success	52
18667346974	Deploy Preview (Cloudflare)	completed	failure	45
18667346973	Guard - Require Cloudflare Pages Preview	completed	success	14
18667262040	Healthcheck API	completed	failure	19
18667230031	audit-and-remediate	completed	success	50
18667229826	Verify Media	completed	failure	16
18667229646	Verify Menus	completed	failure	18
18667229383	Verify Settings	completed	failure	15
18667229165	Verify Home	completed	failure	22
18667168901	Deploy Production (Cloudflare)	completed	success	75
18667168898	Docs Lint	completed	success	37
18667168897	Status & Changelog Update	completed	success	19
18667168896	Structure & Governance Guard	completed	success	19
18667168895	Pages Deploy Fallback	completed	failure	30
18667168893	CI — Briefing	completed	success	120
18667168890	Guard - Require Cloudflare Pages Preview	completed	skipped	1
18667126471	release-template	completed	success	18
18667116949	release-template	completed	failure	16
18667110932	Pages Deploy Fallback	completed	failure	33
18667110927	Guard - Require Cloudflare Pages Preview	completed	skipped	1
18667110924	CI — Briefing	completed	success	118
18667110922	Status & Changelog Update	completed	success	23
18667110921	Deploy Production (Cloudflare)	completed	success	74
18667110916	Docs Lint	completed	success	30
18667110906	Structure & Governance Guard	completed	success	21
18667109898	CI — Briefing	completed	success	58
18667109859	Guard - Require Cloudflare Pages Preview	completed	success	19
18667109856	Structure & Governance Guard	completed	success	17
18667109855	Docs Lint	completed	success	35
18667109852	Environment Report	completed	success	24
18667109851	Deploy Preview (Cloudflare)	completed	success	74
18666902471	Docs Lint	completed	success	34
18666902462	CI — Briefing	completed	success	111
18666902455	Structure & Governance Guard	completed	success	16
18666902416	Guard - Require Cloudflare Pages Preview	completed	skipped	1
18666902404	Deploy Production (Cloudflare)	completed	success	76
18666902391	Pages Deploy Fallback	completed	failure	28
18666902385	Status & Changelog Update	completed	success	16
18666849746	audit-and-remediate	completed	success	33
18666844732	Pages Deploy Fallback	completed	failure	28
18666844731	Status & Changelog Update	completed	success	19
18666844722	Structure & Governance Guard	completed	success	15
18666844718	Guard - Require Cloudflare Pages Preview	completed	skipped	1
18666844714	Deploy Production (Cloudflare)	completed	success	84
18666844713	Docs Lint	completed	success	36
18666844712	CI — Briefing	completed	success	121
18666833256	Healthcheck API	completed	failure	14
18666779264	publish-mvp-rest	completed	success	14
18666777397	audit-and-remediate	completed	failure	25
18666771906	Deploy Production (Cloudflare)	completed	success	78
18666771868	Guard - Require Cloudflare Pages Preview	completed	skipped	1
18666771866	CI — Briefing	completed	success	123
18666771857	Pages Deploy Fallback	completed	failure	33
18666771856	Status & Changelog Update	completed	success	17
18666771841	Structure & Governance Guard	completed	success	16
18666771838	Docs Lint	completed	success	33
18666767282	CI — Briefing	completed	success	52
18666767270	Guard - Require Cloudflare Pages Preview	completed	success	14
18666767268	Deploy Preview (Cloudflare)	completed	success	73
18666767266	Structure & Governance Guard	completed	success	16
18666767265	Docs Lint	completed	success	33
18666459908	Deploy Production (Cloudflare)	completed	success	75
18666459862	Status & Changelog Update	completed	success	20
18666459847	Structure & Governance Guard	completed	success	17
18666459846	Guard - Require Cloudflare Pages Preview	completed	skipped	1
18666459842	Docs Lint	completed	success	30
18666459833	Pages Deploy Fallback	completed	failure	28
18666459832	CI — Briefing	completed	success	110
18666449433	Rotate Application Password	completed	failure	16
18666449085	Verify Settings	completed	failure	18
18666448670	Verify Menus	completed	failure	18
18666448393	Verify Media	completed	failure	16
18666448070	Verify Home	completed	failure	15
18666442829	Status & Changelog Update	completed	success	18
18666442814	CI — Briefing	completed	success	113
18666442809	Docs Lint	completed	success	34
18666442806	Structure & Governance Guard	completed	success	20
18666442800	Pages Deploy Fallback	completed	failure	33
18666442799	Deploy Production (Cloudflare)	completed	success	80
18666442792	Guard - Require Cloudflare Pages Preview	completed	skipped	1
18666078916	Healthcheck API	completed	failure	20
18665541089	Healthcheck API	completed	failure	14
18664794119	Healthcheck API	completed	failure	18
18664295789	Healthcheck API	completed	failure	14
18663399451	Healthcheck API	completed	failure	21
18662749856	Healthcheck API	completed	failure	28
18662024953	Healthcheck API	completed	failure	17
18661723867	Healthcheck API	completed	failure	17
18661461075	Verify Home	completed	failure	19
18660913318	Healthcheck API	completed	failure	11
18660596000	Deploy Production (Cloudflare)	completed	success	66
18660595983	Docs Lint	completed	success	24
18660595973	Structure & Governance Guard	completed	success	20
18660595969	CI — Briefing	completed	success	82
18660595968	Pages Deploy Fallback	completed	failure	16
18660595966	Status & Changelog Update	completed	success	17
18660595955	Guard - Require Cloudflare Pages Preview	completed	skipped	1
18660480810	Verify Media	completed	failure	12
18660480292	Verify Menus	completed	failure	12
18660478866	Verify Settings	completed	failure	15
18660477895	Verify Home	completed	failure	11
18660213297	Pages Deploy Fallback	completed	failure	17
18660213265	Deploy Production (Cloudflare)	completed	success	64
18660213255	Status & Changelog Update	completed	success	10
18660213248	Structure & Governance Guard	completed	success	11
18660213247	Docs Lint	completed	success	22
18660213244	Guard - Require Cloudflare Pages Preview	completed	skipped	1
18660170458	Verify Settings	completed	failure	13
18660169846	Verify Media	completed	failure	13
18660169333	Verify Menus	completed	failure	12
18660168964	Verify Home	completed	failure	13
18660156065	Guard - Require Cloudflare Pages Preview	completed	skipped	1
18660156018	Status & Changelog Update	completed	success	10
18660156014	Structure & Governance Guard	completed	success	8
18660156007	Deploy Production (Cloudflare)	completed	success	64
18660156005	CI — Briefing	completed	success	97
18660156001	Pages Deploy Fallback	completed	failure	17
18660155999	Docs Lint	completed	success	23
18660088198	Healthcheck API	completed	failure	9
18659840594	Verify Media	completed	failure	17
18659840082	Verify Menus	completed	failure	17
18659839829	Verify Settings	completed	failure	13
18659839554	Verify Home	completed	failure	15
18659817913	Deploy Production (Cloudflare)	completed	success	64
18659817912	Status & Changelog Update	completed	success	12
18659817906	Pages Deploy Fallback	completed	failure	16
18659817903	Structure & Governance Guard	completed	success	11
18659817895	Docs Lint	completed	success	22
18659817889	Guard - Require Cloudflare Pages Preview	completed	skipped	1
18659594268	Verify Settings	completed	failure	8
18659593779	Verify Media	completed	failure	10
18659593447	Verify Menus	completed	failure	13
18659593244	Verify Home	completed	failure	8
18659590543	Status & Changelog Update	completed	success	11
18659590542	Guard - Require Cloudflare Pages Preview	completed	skipped	0
18659590538	Docs Lint	completed	success	27
18659590530	Pages Deploy Fallback	completed	failure	13
18659590521	Structure & Governance Guard	completed	success	10
18659590519	Deploy Production (Cloudflare)	completed	success	65
18659582160	Deploy Preview (Cloudflare)	completed	failure	37
18659582149	Guard - Require Cloudflare Pages Preview	completed	success	8
18659582148	Structure & Governance Guard	completed	success	12
18659582138	Docs Lint	completed	success	27
18659271441	Structure & Governance Guard	completed	success	9
18659271409	CI — Briefing	completed	success	98
18659271408	Status & Changelog Update	completed	success	13
18659271405	Pages Deploy Fallback	completed	failure	19
18659271404	Deploy Production (Cloudflare)	completed	success	64
18659271399	Guard - Require Cloudflare Pages Preview	completed	skipped	1
18659271395	Docs Lint	completed	success	24
18659266829	Environment Report	completed	success	13
18659266817	Guard - Require Cloudflare Pages Preview	completed	success	9
18659266812	Structure & Governance Guard	completed	success	9
18659266810	Docs Lint	completed	success	21
18659266794	Deploy Preview (Cloudflare)	completed	failure	37
18659266792	CI — Briefing	completed	success	38
18659219172	Healthcheck API	completed	failure	8
18658840963	Healthcheck API	completed	failure	14
18657959007	Structure & Governance Guard	completed	success	10
18657958983	Pages Deploy Fallback	completed	failure	19
18657958961	Guard - Require Cloudflare Pages Preview	completed	skipped	1
18657958955	Docs Lint	completed	success	24
18657958952	CI — Briefing	completed	success	93
18657958933	Deploy Production (Cloudflare)	completed	success	58
18657958930	Status & Changelog Update	completed	success	13
18657876716	Structure & Governance Guard	completed	success	13
18657876710	CI — Briefing	completed	success	41
18657876708	Docs Lint	completed	success	22
18657876689	Deploy Preview (Cloudflare)	completed	success	80
